Customer_ID,Name,Age,Monthly_Income,Annual_Spending
1,Amit,18,12000,8000
2,Priya,21,18000,12000
3,Rahul,23,22000,15000
4,Neha,25,28000,18000
5,Rohan,27,32000,22000
6,Pooja,29,38000,26000
7,Vikas,31,42000,30000
8,Sneha,33,48000,34000
9,Arjun,35,55000,40000
10,Kavita,37,62000,45000
11,Akash,39,68000,50000
12,Meena,41,75000,58000
13,Suresh,43,82000,65000
14,Anjali,45,90000,72000
15,Raj,47,98000,80000
16,Deepa,49,110000,90000
17,Manoj,51,125000,105000
18,Swati,53,140000,115000
19,Kiran,56,160000,130000
20,Pallavi,60,180000,150000
